analysis_group,row_role,sample_id,clause_id,gold_modality,clause_text,gold_action_count,gold_action_texts,gold_condition_count,gold_constraint_count,gold_exception_count,pred_A_modality,pred_B_modality,pred_C_modality,pred_D_modality,pred_A_action_count,pred_B_action_count,pred_C_action_count,pred_D_action_count,all_actions_within_clause,predicate_markers,adjudication_label,confidence,notes
shall_definition_family,shall_include,estg_000037,c1,definition,"In any event, business expenses shall include: 1. a) contributions by the insured person to compulsory insurance in the statutory health, accident and pension insurance, and b) compulsory contributions to welfare and support institutions of the chambers of self-employed persons, to the extent that these institutions serve health, old-age, invalidity and survivors’ provision. 2. a) contributions to pension funds subject to the following conditions: aa) the fund must be subject to state supervision; bb) the fund must grant a legal entitlement to benefits for the purpose of old-age and survivors’ provision",1,shall include,1,3,0,obligation,obligation,obligation,obligation,1,1,1,1,True,include,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000080,c4,definition,"If, for business reasons, individual assets are transferred free of charge into the business assets of another taxpayer, the amount that the recipient would have had to pay for the individual asset at the time of receipt shall be deemed as the acquisition cost (deemed acquisition cost).",1,shall be deemed as the acquisition cost,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_treated,estg_000083,c2,definition,"in this case, the additional amounts shall be treated as business income and the reduced amounts as business expenses.",1,the additional amounts shall be treated as business income and the reduced amounts as business expenses,1,0,0,prohibition,prohibition,prohibition,prohibition,1,4,3,3,True,amounts,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000087,c1,definition,"In the exchange of shares in a company or cooperative, no exchange shall be deemed to exist if the exchange takes place on the basis of a merger that does not result in liquidation taxation.",1,be deemed to exist,1,1,0,prohibition,prohibition,prohibition,prohibition,4,1,2,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_determined,estg_000136,c1,definition,The assets to which the reserves (tax-free amounts) may be transferred shall be determined by the assets in respect of which the hidden reserves were disclosed (paragraph 3),1,be determined,0,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_constitute,estg_000293,c1,definition,"(1) The following income shall constitute income from capital, to the extent that it does not fall within the income categories referred to in Section 2(1) to (4): 1. a) profit shares (dividends), interest and other distributions from shares or interests in limited liability companies; b) similar distributions and patronage refunds from interests in commercial and industrial cooperatives, excluding those under Section 13 of the Corporate Income Tax Act 1988; c) similar distributions from profit participation rights and from participation capital within the meaning of the Banking Act or the Insurance Supervision Act.",1,constitute income from capital,1,3,1,obligation,obligation,obligation,obligation,1,1,1,1,True,constitute,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_income,estg_000302,c1,definition,"(1) The following income shall, to the extent it does not constitute income within the meaning of Section 2(3) items 1 to 5, be income from letting and leasing:",1,be income from letting and leasing,1,0,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000414,c1,definition,"(3) If neither an assessment under Section 39 nor under Section 41 takes place, the income tax attributable to income subject to withholding tax shall be deemed discharged for the taxpayer if he can neither be held liable under Section 83(2) nor under Section 95(2), nor is an annual adjustment under Section 72 to be carried out.",1,be deemed discharged,3,1,0,obligation,obligation,obligation,obligation,3,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_assumed,estg_000509,c2,definition,"for this purpose, a monthly wage payment period shall be assumed.",1,be assumed,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_treated,estg_000522,c1,definition,"(7) Pursuant to paragraphs 1 to 5, the following shall also be treated as such — allowances and supplementary payments included in the remuneration continued to be paid to released members of the works council, — similar allowances and supplementary payments to staff representatives within the meaning of the Federal Staff Representation Act (Bundes-Personalvertretungsgesetz) and similar state legislation, — allowances and supplementary payments included in wages continued to be paid to the employee in the event of illness.",1,be treated,0,4,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000572,c1,definition,"If, due to the special nature of the remuneration, a period for which the wage is paid cannot exceptionally be determined, the wage payment period shall be deemed to be at least the actually expended working time.",1,be deemed to be,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_apply,estg_000664,c1,definition,The following shall apply to this provision:,1,apply,0,1,0,obligation,obligation,obligation,obligation,0,0,0,0,True,apply,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000773,c1,definition,"If the legal person under private law is held exclusively, directly or indirectly, by corporations under public law, activities conducted in a separate set of accounts within the meaning of subsection (3) shall be deemed a single activity, even if the individual activities lack the intention of making a profit",1,be deemed a single activity,1,2,1,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_assumed,estg_000776,c1,definition,An exercise of public authority shall be assumed in particular where services are involved the acceptance of which the recipient is obliged to accept by virtue of a statutory or official order,1,be assumed,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_definition_family,shall_be_deemed,estg_000854,c1,definition,"The exclusive use of the provisions for premium refunds (profit participations) in the life, health or accident insurance business with return of premium shall also be deemed secure to the extent that, in exceptional cases, amounts may be withdrawn from these provisions in accordance with the business plan and with the approval of the insurance supervisory authority in order to ensure the permanent ability to meet the obligations arising from the insurance contracts.",1,be deemed secure,1,0,0,obligation,obligation,permission,obligation,2,2,1,2,True,be,DEFINITIONAL_SHALL,high,Gold definition containing shall; all four arms predicted non-definition.
shall_family_similar_nondefinition,shall_be_assumed,estg_000505,c2,obligation,"in this respect, a monthly wage payment period shall be assumed",1,be assumed,0,1,0,obligation,obligation,obligation,obligation,2,2,1,1,True,be,NON_DEFINITION_SURFACE_PARALLEL,medium,Non-definition clause matching the same shall-family surface pattern.
shall_family_similar_nondefinition,shall_apply,estg_000056,c1,obligation,"(7) For buildings that form part of the fixed assets and are let for consideration for residential purposes to persons who are not employees of the enterprise, the following shall apply with regard to repair expenses:",1,apply,1,1,0,obligation,obligation,,obligation,1,0,0,0,True,apply,NON_DEFINITION_SURFACE_PARALLEL,medium,Non-definition clause matching the same shall-family surface pattern.
shall_family_similar_nondefinition,shall_apply,estg_000128,c2,obligation,Section 10(2) last sentence shall apply.,1,apply,0,1,0,permission,permission,permission,permission,0,0,0,0,True,apply,NON_DEFINITION_SURFACE_PARALLEL,medium,Non-definition clause matching the same shall-family surface pattern.
shall_family_similar_nondefinition,shall_apply,estg_000208,c2,obligation,"Subsection (1)(3) shall also apply if, within the group of persons referred to in point 1, the lender or loan debtor on the one hand and the developer (owner) or housing applicant (beneficiary, tenant) on the other hand are not identical",1,apply,1,0,0,obligation,obligation,prohibition,obligation,1,1,1,1,True,apply,NON_DEFINITION_SURFACE_PARALLEL,medium,Non-definition clause matching the same shall-family surface pattern.
shall_family_similar_nondefinition,shall_be_determined,estg_000812,c1,obligation,"For commercial enterprises (Section 2) that are required to keep books under commercial law provisions, and for trading and business cooperatives, the profit shall be determined in accordance with Section 5 of the Income Tax Act 1988",1,be determined,2,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,NON_DEFINITION_SURFACE_PARALLEL,medium,Non-definition clause matching the same shall-family surface pattern.
definition_action_presence,gold_definition,estg_000020,c1,definition,A prerequisite for the tax exemption is that the free drink allowance may not be sold by the employee and that it is only granted in such quantity as to actually preclude a sale,1,is that the free drink allowance may not be sold by the employee and that it is only granted in such quantity as to actually preclude a sale,2,0,0,prohibition,prohibition,prohibition,prohibition,2,2,2,2,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000031,c1,definition,"(1) Profit is the difference, to be determined by double-entry bookkeeping, between the business assets at the end of the financial year and the business assets at the end of the preceding financial year",1,is the difference,0,2,0,definition,definition,definition,definition,0,0,0,0,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000037,c1,definition,"In any event, business expenses shall include: 1. a) contributions by the insured person to compulsory insurance in the statutory health, accident and pension insurance, and b) compulsory contributions to welfare and support institutions of the chambers of self-employed persons, to the extent that these institutions serve health, old-age, invalidity and survivors’ provision. 2. a) contributions to pension funds subject to the following conditions: aa) the fund must be subject to state supervision; bb) the fund must grant a legal entitlement to benefits for the purpose of old-age and survivors’ provision",1,shall include,1,3,0,obligation,obligation,obligation,obligation,1,1,1,1,True,include,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000040,c1,definition,Dependants also include spouses and children (Section 106).,1,include,0,1,0,definition,definition,definition,definition,0,0,0,0,True,include,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000046,c2,definition,The research allowance generally amounts to up to 12% of research expenditures.,1,amounts to,0,2,0,definition,definition,definition,statement,1,0,0,1,True,amounts,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000057,c1,definition,"Expenditure on repairs means expenditure that is not part of the cost of acquisition or construction and which, alone or together with construction expenditure, substantially increases the value in use of the building or substantially extends its useful life",1,means,2,1,0,definition,definition,definition,definition,0,0,0,0,True,means,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000071,c1,definition,"For registered traders, Item 13 applies",1,applies,1,0,0,obligation,obligation,obligation,obligation,1,1,1,1,True,applies,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000080,c4,definition,"If, for business reasons, individual assets are transferred free of charge into the business assets of another taxpayer, the amount that the recipient would have had to pay for the individual asset at the time of receipt shall be deemed as the acquisition cost (deemed acquisition cost).",1,shall be deemed as the acquisition cost,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000082,c1,definition,"To the extent that the input tax can be deducted (Section 12(1) of the Value Added Tax Act 1972), it does not form part of the acquisition or production costs of the asset on the acquisition or production of which it is incurred",1,not form part,1,2,0,obligation,obligation,obligation,obligation,2,2,2,2,True,form,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000083,c1,definition,This does not apply if the input tax is adjusted under Section 12(10) and (11) of the Turnover Tax Act 1972,1,does not apply,0,0,1,prohibition,prohibition,prohibition,prohibition,1,4,3,3,True,apply,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000083,c2,definition,"in this case, the additional amounts shall be treated as business income and the reduced amounts as business expenses.",1,the additional amounts shall be treated as business income and the reduced amounts as business expenses,1,0,0,prohibition,prohibition,prohibition,prohibition,1,4,3,3,True,amounts,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000087,c1,definition,"In the exchange of shares in a company or cooperative, no exchange shall be deemed to exist if the exchange takes place on the basis of a merger that does not result in liquidation taxation.",1,be deemed to exist,1,1,0,prohibition,prohibition,prohibition,prohibition,4,1,2,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000112,c1,definition,a partner who is deemed to be an entrepreneur (co-entrepreneur),1,is deemed,0,1,0,none,,definition,definition,1,0,0,0,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000136,c1,definition,The assets to which the reserves (tax-free amounts) may be transferred shall be determined by the assets in respect of which the hidden reserves were disclosed (paragraph 3),1,be determined,0,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000164,c1,definition,"For the consideration of these expenses, the following applies:",1,applies,1,0,0,definition,definition,definition,definition,0,0,0,0,True,applies,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000164,c2,definition,"a) For a one-way distance between the residence and the place of work of up to 20 km, these expenses are generally compensated by the transport tax credit (Section 33(5) and Section 57(3)).",1,compensated,1,2,0,definition,obligation,obligation,obligation,1,1,1,1,True,compensated,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000195,c1,definition,"Likewise, it is irrelevant whether the housing applicant has a claim to full reimbursement of the amount in the event of his withdrawal by the end of the eight-year commitment period or not",1,is irrelevant,1,0,0,definition,definition,definition,definition,0,0,0,0,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000208,c3,definition,"Young shares within the meaning of subsection (1)(4) are shares, aa) which are acquired upon formation for cash payment with immediate full payment of the issue amount (par value and premium) within three months of the entry of the company in the commercial register",2,are shares || are acquired,1,2,0,definition,definition,definition,definition,0,0,0,0,True,are,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000208,c4,definition,"which are newly issued in the course of a capital increase for cash payment with immediate full payment of the issue amount (par value and premium) and which, in the course of an ordinary or authorised capital increase, are acquired within three months of the entry of the implementation of the increase of the share capital in the commercial register, or where, in the course of a contingent capital increase, the exercise of the irrevocable subscription right is declared",3,are newly issued || are acquired || is declared,3,3,0,definition,definition,definition,definition,0,0,0,0,True,are;is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000209,c1,definition,Shares issued as a result of a capital increase are not eligible if the resolution on the increase of the share capital (Section 149(1) of the Stock Corporation Act 1965) was adopted within two years after the registration of the resolution on the reduction of the share capital for the purpose of repaying parts of the share capital (Section 177 of the Stock Corporation Act 1965),1,are not eligible,1,0,0,prohibition,prohibition,prohibition,prohibition,1,1,1,1,True,are,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000209,c2,definition,"this also applies to capital reductions by a stock corporation or a limited liability company as the legal predecessor of the stock corporation (Sections 219 and 245 of the Stock Corporation Act 1965, Section 2 of the Federal Act on the Transformation of Commercial Companies, Federal Law Gazette)",1,also applies,0,1,0,prohibition,prohibition,prohibition,prohibition,1,1,1,1,True,applies,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000210,c1,definition,Shares for which guarantees regarding value or dividend claims are provided are not eligible,1,are not eligible,1,0,0,prohibition,prohibition,prohibition,prohibition,1,1,1,1,True,are,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000210,c2,definition,"b) Stock corporations within the meaning of paragraph 1 item 4 are stock corporations having their registered seat and place of management in the country, aa) which belong to the ""Trade"" or ""Industry"" sections of a chamber of commerce and whose main business focus, according to the articles of association and the preparatory acts or the actual management, is demonstrably the industrial manufacture of tangible assets in the country, excluding the generation of electrical energy, gas or heat, and bb) for which no general deficiency guarantees for the event of insolvency have been assumed",1,are stock corporations,2,1,1,definition,definition,definition,definition,0,0,0,0,True,are,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000218,c1,definition,"In the case of a reduction in deductible insurance premiums (Section 1(2), last sentence), the notification obligation does not apply if the refunded amounts are offset against future insurance premiums",1,does not apply,2,0,0,non_obligation,prohibition,prohibition,prohibition,1,1,1,1,True,apply,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000232,c2,definition,"in these cases, the ten-year period for subsequent taxation runs from the time of the deposit of those profit participation certificates or shares whose acquisition costs were deducted as special expenses",1,runs,1,2,0,obligation,assertion,obligation,assertion,1,1,1,1,True,runs,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000273,c1,definition,"(1) Income from employment (wages) is: 1. a) emoluments and benefits from an existing or former employment relationship. b) emoluments and benefits of persons who are not substantially interested in corporations within the meaning of Section 22 no. 2, even if, in the case of an employment which otherwise exhibits all the characteristics of an employment relationship (Section 47(2)), the obligation to follow the instructions of another is absent on the basis of a special provision in the articles of association. c) emoluments from a statutory sickness or accident insurance. d) emoluments from a foreign statutory sickness or accident insurance which corresponds to a domestic sickness or accident insurance. e) sickness benefits from the welfare and support institutions of the chambers of self-employed persons.",1,is,0,5,1,definition,definition,definition,definition,0,0,0,0,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000283,c1,definition,"A business trip occurs when an employee  — leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties, or — works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis.",3,occurs || leaves || works,2,3,0,definition,definition,definition,definition,2,2,2,2,True,leaves;occurs;works,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000293,c1,definition,"(1) The following income shall constitute income from capital, to the extent that it does not fall within the income categories referred to in Section 2(1) to (4): 1. a) profit shares (dividends), interest and other distributions from shares or interests in limited liability companies; b) similar distributions and patronage refunds from interests in commercial and industrial cooperatives, excluding those under Section 13 of the Corporate Income Tax Act 1988; c) similar distributions from profit participation rights and from participation capital within the meaning of the Banking Act or the Insurance Supervision Act.",1,constitute income from capital,1,3,1,obligation,obligation,obligation,obligation,1,1,1,1,True,constitute,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000302,c1,definition,"(1) The following income shall, to the extent it does not constitute income within the meaning of Section 2(3) items 1 to 5, be income from letting and leasing:",1,be income from letting and leasing,1,0,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000414,c1,definition,"(3) If neither an assessment under Section 39 nor under Section 41 takes place, the income tax attributable to income subject to withholding tax shall be deemed discharged for the taxpayer if he can neither be held liable under Section 83(2) nor under Section 95(2), nor is an annual adjustment under Section 72 to be carried out.",1,be deemed discharged,3,1,0,obligation,obligation,obligation,obligation,3,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000417,c1,definition,"This is the case when the person performing the activity, in the exercise of their business will, is subject to the direction of the employer or is obligated to follow the employer's instructions within the business organization of the employer.",3,is the case || is subject || is obligated to follow,0,4,0,obligation,obligation,definition,definition,2,2,2,2,True,is,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000509,c2,definition,"for this purpose, a monthly wage payment period shall be assumed.",1,be assumed,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000522,c1,definition,"(7) Pursuant to paragraphs 1 to 5, the following shall also be treated as such — allowances and supplementary payments included in the remuneration continued to be paid to released members of the works council, — similar allowances and supplementary payments to staff representatives within the meaning of the Federal Staff Representation Act (Bundes-Personalvertretungsgesetz) and similar state legislation, — allowances and supplementary payments included in wages continued to be paid to the employee in the event of illness.",1,be treated,0,4,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000572,c1,definition,"If, due to the special nature of the remuneration, a period for which the wage is paid cannot exceptionally be determined, the wage payment period shall be deemed to be at least the actually expended working time.",1,be deemed to be,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000664,c1,definition,The following shall apply to this provision:,1,apply,0,1,0,obligation,obligation,obligation,obligation,0,0,0,0,True,apply,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000773,c1,definition,"If the legal person under private law is held exclusively, directly or indirectly, by corporations under public law, activities conducted in a separate set of accounts within the meaning of subsection (3) shall be deemed a single activity, even if the individual activities lack the intention of making a profit",1,be deemed a single activity,1,2,1,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000776,c1,definition,An exercise of public authority shall be assumed in particular where services are involved the acceptance of which the recipient is obliged to accept by virtue of a statutory or official order,1,be assumed,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
definition_action_presence,gold_definition,estg_000800,c1,definition,This does not apply as long as the sponsoring undertaking suspends the contribution payments (Section 4(4) no. 2 of the Income Tax Act 1988),1,does not apply,1,1,0,prohibition,prohibition,prohibition,prohibition,1,0,1,0,True,apply,STABLE_ACTION_PRESENCE,high,Gold definition action-presence audit.
