sample_id,clause_id,clause_index,gold_modality,construction_features,clause_text,pred_modality_A,pred_modality_B,pred_modality_C,pred_modality_D,all_four_wrong,error_type,gold_action_count,pred_action_count_A,pred_action_count_B,pred_action_count_C,pred_action_count_D,manual_review_required,notes
estg_000164,c1,0,definition,applies_apply,"For the consideration of these expenses, the following applies:",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000164,c2,1,definition,copula_is_are,"a) For a one-way distance between the residence and the place of work of up to 20 km, these expenses are generally compensated by the transport tax credit (Section 33(5) and Section 57(3)).",definition,obligation,obligation,obligation,False,partially_correct,1,1,1,1,1,True,Copular/passive classification boundary is uncertain.
estg_000195,c1,0,definition,copula_is_are,"Likewise, it is irrelevant whether the housing applicant has a claim to full reimbursement of the amount in the event of his withdrawal by the end of the eight-year commitment period or not",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000208,c3,2,definition,within_the_meaning;copula_is_are,"Young shares within the meaning of subsection (1)(4) are shares, aa) which are acquired upon formation for cash payment with immediate full payment of the issue amount (par value and premium) within three months of the entry of the company in the commercial register",definition,definition,definition,definition,False,partially_correct,2,0,0,0,0,False,
estg_000208,c4,3,definition,copula_is_are,"which are newly issued in the course of a capital increase for cash payment with immediate full payment of the issue amount (par value and premium) and which, in the course of an ordinary or authorised capital increase, are acquired within three months of the entry of the implementation of the increase of the share capital in the commercial register, or where, in the course of a contingent capital increase, the exercise of the irrevocable subscription right is declared",definition,definition,definition,definition,False,partially_correct,3,0,0,0,0,False,
estg_000209,c1,0,definition,are_not_eligible;copula_is_are,Shares issued as a result of a capital increase are not eligible if the resolution on the increase of the share capital (Section 149(1) of the Stock Corporation Act 1965) was adopted within two years after the registration of the resolution on the reduction of the share capital for the purpose of repaying parts of the share capital (Section 177 of the Stock Corporation Act 1965),prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,1,1,1,False,
estg_000209,c2,1,definition,applies_apply,"this also applies to capital reductions by a stock corporation or a limited liability company as the legal predecessor of the stock corporation (Sections 219 and 245 of the Stock Corporation Act 1965, Section 2 of the Federal Act on the Transformation of Commercial Companies, Federal Law Gazette)",prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,1,1,1,False,
estg_000210,c1,0,definition,are_not_eligible;copula_is_are,Shares for which guarantees regarding value or dividend claims are provided are not eligible,prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,1,1,1,False,
estg_000210,c2,1,definition,within_the_meaning;copula_is_are,"b) Stock corporations within the meaning of paragraph 1 item 4 are stock corporations having their registered seat and place of management in the country,
aa) which belong to the ""Trade"" or ""Industry"" sections of a chamber of commerce and whose main business focus, according to the articles of association and the preparatory acts or the actual management, is demonstrably the industrial manufacture of tangible assets in the country, excluding the generation of electrical energy, gas or heat, and
bb) for which no general deficiency guarantees for the event of insolvency have been assumed",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000218,c1,0,definition,applies_apply;does_not_apply;copula_is_are,"In the case of a reduction in deductible insurance premiums (Section 1(2), last sentence), the notification obligation does not apply if the refunded amounts are offset against future insurance premiums",non_obligation,prohibition,prohibition,prohibition,True,definition_to_other_or_mixed_nondefinition,1,1,1,1,1,False,
estg_000232,c2,1,definition,,"in these cases, the ten-year period for subsequent taxation runs from the time of the deposit of those profit participation certificates or shares whose acquisition costs were deducted as special expenses",obligation,assertion,obligation,assertion,True,definition_to_other_or_mixed_nondefinition,1,1,1,1,1,True,Temporal relational predicate ('runs from') needs boundary review.
estg_000273,c1,0,definition,within_the_meaning;copula_is_are,"(1) Income from employment (wages) is: 
1. a) emoluments and benefits from an existing or former employment relationship. 
b) emoluments and benefits of persons who are not substantially interested in corporations within the meaning of Section 22 no. 2, even if, in the case of an employment which otherwise exhibits all the characteristics of an employment relationship (Section 47(2)), the obligation to follow the instructions of another is absent on the basis of a special provision in the articles of association. 
c) emoluments from a statutory sickness or accident insurance. 
d) emoluments from a foreign statutory sickness or accident insurance which corresponds to a domestic sickness or accident insurance. 
e) sickness benefits from the welfare and support institutions of the chambers of self-employed persons.",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000283,c1,0,definition,,"A business trip occurs when an employee

— leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties, or
— works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis.",definition,definition,definition,definition,False,partially_correct,3,2,2,2,2,False,
estg_000293,c1,0,definition,within_the_meaning;shall_constitute,"(1) The following income shall constitute income from capital, to the extent that it does not fall within the income categories referred to in Section 2(1) to (4): 1. a) profit shares (dividends), interest and other distributions from shares or interests in limited liability companies; b) similar distributions and patronage refunds from interests in commercial and industrial cooperatives, excluding those under Section 13 of the Corporate Income Tax Act 1988; c) similar distributions from profit participation rights and from participation capital within the meaning of the Banking Act or the Insurance Supervision Act.",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000302,c1,0,definition,within_the_meaning,"(1) The following income shall, to the extent it does not constitute income within the meaning of Section 2(3) items 1 to 5, be income from letting and leasing:",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000414,c1,0,definition,shall_be_deemed;be_deemed;copula_is_are,"(3) If neither an assessment under Section 39 nor under Section 41 takes place, the income tax attributable to income subject to withholding tax shall be deemed discharged for the taxpayer if he can neither be held liable under Section 83(2) nor under Section 95(2), nor is an annual adjustment under Section 72 to be carried out.",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,3,1,1,1,False,
estg_000417,c1,0,definition,copula_is_are,"This is the case when the person performing the activity, in the exercise of their business will, is subject to the direction of the employer or is obligated to follow the employer's instructions within the business organization of the employer.",obligation,obligation,definition,definition,False,partially_correct,3,2,2,2,2,False,
estg_000509,c2,1,definition,shall_be_assumed,"for this purpose, a monthly wage payment period shall be assumed.",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,True,"Near-identical to estg_000505 c2, which Gold labels obligation."
estg_000522,c1,0,definition,within_the_meaning;shall_be_treated,"(7) Pursuant to paragraphs 1 to 5, the following shall also be treated as such — allowances and supplementary payments included in the remuneration continued to be paid to released members of the works council, — similar allowances and supplementary payments to staff representatives within the meaning of the Federal Staff Representation Act (Bundes-Personalvertretungsgesetz) and similar state legislation, — allowances and supplementary payments included in wages continued to be paid to the employee in the event of illness.",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000572,c1,0,definition,shall_be_deemed;be_deemed;copula_is_are,"If, due to the special nature of the remuneration, a period for which the wage is paid cannot exceptionally be determined, the wage payment period shall be deemed to be at least the actually expended working time.",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000664,c1,0,definition,shall_apply;applies_apply,The following shall apply to this provision:,obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,0,0,0,0,True,
estg_000773,c1,0,definition,within_the_meaning;shall_be_deemed;be_deemed;copula_is_are,"If the legal person under private law is held exclusively, directly or indirectly, by corporations under public law, activities conducted in a separate set of accounts within the meaning of subsection (3) shall be deemed a single activity, even if the individual activities lack the intention of making a profit",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000776,c1,0,definition,shall_be_assumed;copula_is_are,An exercise of public authority shall be assumed in particular where services are involved the acceptance of which the recipient is obliged to accept by virtue of a statutory or official order,obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000800,c1,0,definition,applies_apply;does_not_apply,This does not apply as long as the sponsoring undertaking suspends the contribution payments (Section 4(4) no. 2 of the Income Tax Act 1988),prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,0,1,0,False,
estg_000854,c1,0,definition,be_deemed,"The exclusive use of the provisions for premium refunds (profit participations) in the life, health or accident insurance business with return of premium shall also be deemed secure to the extent that, in exceptional cases, amounts may be withdrawn from these provisions in accordance with the business plan and with the approval of the insurance supervisory authority in order to ensure the permanent ability to meet the obligations arising from the insurance contracts.",obligation,obligation,permission,obligation,True,definition_to_other_or_mixed_nondefinition,1,2,2,1,2,False,
