sample_id,clause_id,action_index,gold_action_text,action_length,taxonomy_primary,taxonomy_secondary,boundary_features,manual_review_required,pred_modality_A,pred_action_text_A,action_outcome_A,pred_modality_B,pred_action_text_B,action_outcome_B,pred_modality_C,pred_action_text_C,action_outcome_C,pred_modality_D,pred_action_text_D,action_outcome_D
estg_000209,c1,0,are not eligible,16,classification_verb,negated,,False,prohibition,are not eligible,exact_match,prohibition,Shares issued as a result of a capital increase,missing,prohibition,Shares issued as a result of a capital increase,missing,prohibition,are not eligible,exact_match
estg_000209,c2,0,also applies,12,relational_predicate,scope_application,,False,prohibition,are not eligible,missing,prohibition,capital reductions by a stock corporation or a limited liability company as the legal predecessor of the stock corporation,missing,prohibition,Shares issued as a result of a capital increase,missing,prohibition,applies,narrower
estg_000210,c1,0,are not eligible,16,classification_verb,negated,,False,prohibition,are not eligible,exact_match,prohibition,eligible,narrower,prohibition,eligible,narrower,prohibition,eligible,narrower
estg_000210,c2,0,are stock corporations,22,classification_verb,copular_action,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000218,c1,0,does not apply,14,relational_predicate,scope_application;negated,,False,non_obligation,apply,narrower,prohibition,the notification obligation,missing,prohibition,apply,narrower,prohibition,the notification obligation,missing
estg_000232,c2,0,runs,4,relational_predicate,,,True,obligation,runs from the time of the deposit of those profit participation certificates or shares whose acquisition costs were deducted as special expenses,broader,assertion,runs,exact_match,obligation,runs,exact_match,assertion,runs,exact_match
estg_000273,c1,0,is,2,copular_action,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000283,c1,0,occurs,6,relational_predicate,,,False,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",missing,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",missing,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",missing,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",missing
estg_000283,c1,1,leaves,6,other_event_predicate,verb_only,,False,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader
estg_000283,c1,2,works,5,other_event_predicate,verb_only,,False,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader,definition,"leaves their duty station (office, permanent establishment, factory premises, warehouse, etc.) on the employer’s orders to perform work duties || works so far away from their permanent place of residence (family home) that they cannot reasonably be expected to return to that permanent place of residence (family home) on a daily basis",broader
estg_000293,c1,0,constitute income from capital,30,classification_verb,,,False,obligation,constitute income from capital,exact_match,obligation,constitute income from capital,exact_match,obligation,constitute income from capital,exact_match,obligation,constitute income from capital,exact_match
estg_000302,c1,0,be income from letting and leasing,34,classification_verb,,action_longer_than_30_chars,True,obligation,be income from letting and leasing,exact_match,obligation,be income from letting and leasing,exact_match,obligation,be income from letting and leasing,exact_match,obligation,be income from letting and leasing,exact_match
estg_000414,c1,0,be deemed discharged,20,deeming_legal_fiction,,,False,obligation,deemed discharged || held liable || carried out,narrower,obligation,be deemed discharged,exact_match,obligation,be deemed discharged,exact_match,obligation,be deemed discharged,exact_match
estg_000417,c1,0,is the case,11,copular_action,,,False,obligation,is subject to the direction of the employer || follow the employer's instructions within the business organization of the employer,missing,obligation,is subject to the direction of the employer || follow the employer's instructions,missing,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,missing,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,missing
estg_000417,c1,1,is subject,10,copular_action,relational_predicate,,False,obligation,is subject to the direction of the employer || follow the employer's instructions within the business organization of the employer,broader,obligation,is subject to the direction of the employer || follow the employer's instructions,broader,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,broader,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,broader
estg_000417,c1,2,is obligated to follow,22,copular_action,relational_predicate,,False,obligation,is subject to the direction of the employer || follow the employer's instructions within the business organization of the employer,overlap_mismatch,obligation,is subject to the direction of the employer || follow the employer's instructions,overlap_mismatch,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,broader,definition,is subject to the direction of the employer || is obligated to follow the employer's instructions,broader
estg_000509,c2,0,be assumed,10,deeming_legal_fiction,,,True,obligation,be taxed like a current payment in accordance with the wage tax rate schedule,missing,obligation,be taxed like a current payment in accordance with the wage tax rate schedule,missing,obligation,be taxed like a current payment,missing,obligation,be taxed like a current payment in accordance with the wage tax rate schedule,missing
estg_000522,c1,0,be treated,10,classification_verb,deeming_legal_fiction,,False,obligation,treated as such,overlap_mismatch,obligation,treated as such,overlap_mismatch,obligation,treated as such,overlap_mismatch,obligation,treated as such,overlap_mismatch
estg_000572,c1,0,be deemed to be,15,deeming_legal_fiction,,,False,obligation,be deemed to be at least the actually expended working time,broader,obligation,be deemed to be at least the actually expended working time,broader,obligation,be deemed to be at least the actually expended working time,broader,obligation,be deemed to be at least the actually expended working time,broader
estg_000664,c1,0,apply,5,relational_predicate,scope_application,,True,obligation,,empty,obligation,,empty,obligation,,empty,obligation,,empty
estg_000773,c1,0,be deemed a single activity,27,deeming_legal_fiction,,,False,obligation,deemed a single activity,narrower,obligation,activities conducted in a separate set of accounts within the meaning of subsection (3) shall be deemed a single activity,broader,obligation,deemed a single activity,narrower,obligation,activities conducted in a separate set of accounts within the meaning of subsection (3) shall be deemed a single activity,broader
estg_000776,c1,0,be assumed,10,deeming_legal_fiction,,,False,obligation,assumed,narrower,obligation,assumed,narrower,obligation,be assumed,exact_match,obligation,be assumed,exact_match
estg_000800,c1,0,does not apply,14,relational_predicate,scope_application;negated,,False,prohibition,apply,narrower,prohibition,,empty,prohibition,apply,narrower,prohibition,,empty
estg_000854,c1,0,be deemed secure,16,deeming_legal_fiction,,,False,obligation,be deemed secure || may be withdrawn,exact_plus_extra,obligation,be deemed secure || may be withdrawn from these provisions,exact_plus_extra,permission,withdrawn,missing,obligation,be deemed secure || may be withdrawn from these provisions,exact_plus_extra
